city,hotel_name,tier,hotel_id,platform,score,nationality,trip_type,room_type,stay_nights,source_file,agoda_agg_score,booking_agg_score,nationality_known,is_asian_reviewer,is_solo,score_gap
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,10.0,South Korea,Couple,One-Bedroom Duplex Suite,2,4season_bali_atSayan_a,9.1,9.5,1,1.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,10.0,Japan,Couple,1 Bedroom Villa,2,4season_bali_atSayan_a,9.1,9.5,1,1.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,10.0,South Korea,Couple,One-Bedroom Duplex Suite,2,4season_bali_atSayan_a,9.1,9.5,1,1.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,9.6,Saudi Arabia,Couple,One Bedroom Villa (2 Queen Beds),3,4season_bali_atSayan_a,9.1,9.5,1,0.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,9.2,China,Couple,One-Bedroom Duplex Suite,1,4season_bali_atSayan_a,9.1,9.5,1,1.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,10.0,China,Solo traveler,Sayan Villa,2,4season_bali_atSayan_a,9.1,9.5,1,1.0,1,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,10.0,South Korea,Couple,One Bedroom Villa (1 King Size Bed),1,4season_bali_atSayan_a,9.1,9.5,1,1.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,10.0,Vietnam,Family with young children,One Bedroom Duplex Suite (1 King Size Bed),3,4season_bali_atSayan_a,9.1,9.5,1,1.0,0,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,8.8,South Korea,Solo traveler,Family Suite with 1 King Size Bed and 2 Twin Beds,2,4season_bali_atSayan_a,9.1,9.5,1,1.0,1,-0.40000000000000036
Bali,Four Seasons Resort Bali at Sayan,Luxury,4season_bali_atSayan,Agoda,10.0,South Korea,Couple,One Bedroom Villa (1 King Size Bed),2,4season_bali_atSayan_a,9.1,9.5,1,1.0,0,-0.40000000000000036
