city,hotel_name,tier,platform,score,nationality,trip_type,room_type,stay_nights,source_file,agoda_agg_score,booking_agg_score,is_asian_reviewer,is_solo,score_gap,nationality_known
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,10.0,South Korea,Couple,One-Bedroom Duplex Suite,2,bali_a,9.1,9.6,1.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Booking.com,10.0,Unknown,Family with young children,Unknown,0,bali_a,9.1,9.6,,0,-0.5,0
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,10.0,Japan,Couple,1 Bedroom Villa,2,bali_a,9.1,9.6,1.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Booking.com,10.0,Unknown,Family with young children,Unknown,0,bali_a,9.1,9.6,,0,-0.5,0
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,10.0,South Korea,Couple,One-Bedroom Duplex Suite,2,bali_a,9.1,9.6,1.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Booking.com,10.0,Unknown,Family with young children,Unknown,0,bali_a,9.1,9.6,,0,-0.5,0
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,9.6,Saudi Arabia,Couple,One Bedroom Villa (2 Queen Beds),3,bali_a,9.1,9.6,0.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Booking.com,10.0,Unknown,Couple,Unknown,0,bali_a,9.1,9.6,,0,-0.5,0
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,9.2,China,Couple,One-Bedroom Duplex Suite,1,bali_a,9.1,9.6,1.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Booking.com,10.0,Unknown,Group,Unknown,0,bali_a,9.1,9.6,,0,-0.5,0
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,10.0,China,Solo traveler,Sayan Villa,2,bali_a,9.1,9.6,1.0,1,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Booking.com,10.0,Unknown,Couple,Unknown,0,bali_a,9.1,9.6,,0,-0.5,0
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,10.0,South Korea,Couple,One Bedroom Villa (1 King Size Bed),1,bali_a,9.1,9.6,1.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Booking.com,10.0,Unknown,Family with young children,Unknown,0,bali_a,9.1,9.6,,0,-0.5,0
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,10.0,Vietnam,Family with young children,One Bedroom Duplex Suite (1 King Size Bed),3,bali_a,9.1,9.6,1.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Booking.com,10.0,Unknown,Couple,Unknown,0,bali_a,9.1,9.6,,0,-0.5,0
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,8.8,South Korea,Solo traveler,Family Suite with 1 King Size Bed and 2 Twin Beds,2,bali_a,9.1,9.6,1.0,1,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Booking.com,8.0,Unknown,Family with young children,Unknown,0,bali_a,9.1,9.6,,0,-0.5,0
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,10.0,South Korea,Couple,One Bedroom Villa (1 King Size Bed),2,bali_a,9.1,9.6,1.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Booking.com,9.0,Unknown,Couple,Unknown,0,bali_a,9.1,9.6,,0,-0.5,0
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,10.0,South Korea,Couple,One Bedroom Villa (1 King Size Bed),2,bali_a,9.1,9.6,1.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Booking.com,10.0,Unknown,Family with young children,Unknown,0,bali_a,9.1,9.6,,0,-0.5,0
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,9.2,South Korea,Couple,One Bedroom Villa (1 King Size Bed),1,bali_a,9.1,9.6,1.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Booking.com,10.0,Unknown,Couple,Unknown,0,bali_a,9.1,9.6,,0,-0.5,0
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,10.0,Singapore,Solo traveler,One Bedroom Villa (2 Queen Beds),3,bali_a,9.1,9.6,1.0,1,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Booking.com,10.0,Unknown,Couple,Unknown,0,bali_a,9.1,9.6,,0,-0.5,0
